Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,Mul_Tiling,39.18,1,39.18,39.18,39.18,0
host,acl,aclnnMul,6605.89,700,9.437,5.04,1828.76,4745.587
host,acl,aclnnMulGetWorkspaceSize,79345.11,1,79345.11,79345.11,79345.11,0
host,acl,aclrtBinaryLoadFromData,252.45,1,252.45,252.45,252.45,0
host,acl,aclrtCreateEventExWithFlag,143.67,10,14.367,1.83,113.35,1092.781
host,acl,aclrtCreateStreamWithConfig,1973.57,2,986.785,720.16,1253.41,71088.891
host,acl,aclrtCtxGetSysParamOpt,15.99,16,0.999,0.51,4.75,1.319
host,acl,aclrtCtxSetSysParamOpt,6.34,2,3.17,0.65,5.69,6.35
host,acl,aclrtDestroyEvent,84.91,10,8.491,1.03,69.21,409.963
host,acl,aclrtDestroyStreamForce,1558.42,1,1558.42,1558.42,1558.42,0
host,acl,aclrtFree,9.47,1,9.47,9.47,9.47,0
host,acl,aclrtGetCurrentContext,1.18,1,1.18,1.18,1.18,0
host,acl,aclrtGetResInCurrentThread,1.97,2,0.985,0.3,1.67,0.469
host,acl,aclrtGetStreamAttribute,370.71,700,0.53,0.35,72.35,7.385
host,acl,aclrtLaunchKernelWithHostArgs,3029,700,4.327,2.87,31.57,3.14
host,acl,aclrtMemcpy,92.15,2,46.075,44.03,48.12,4.182
host,acl,aclrtRecordEvent,146.92,10,14.692,6.22,80.08,476.691
host,acl,aclrtResetDevice,3.19,1,3.19,3.19,3.19,0
host,acl,aclrtSetDevice,34.53,1,34.53,34.53,34.53,0
host,acl,aclrtSetOpExecuteTimeOutV2,1178.13,1,1178.13,1178.13,1178.13,0
host,acl,aclrtSetStreamFailureMode,5.1,2,2.55,2.06,3.04,0.24
host,acl,aclrtSynchronizeDeviceWithTimeout,41.43,3,13.81,8.35,19.1,19.275
host,acl,aclrtSynchronizeEvent,3252.37,15,216.825,0.48,1121.82,112120.905
host,acl,aclrtSynchronizeStream,4.83,2,2.415,1.94,2.89,0.226
host,node,launch,3764.99,700,5.379,3.6,214.99,65.619
