operator,batch,torch_primary_us,torch_all_dev_us,ascendc_primary_us,ascendc_all_dev_us,pypto_compute_us,pypto_all_dev_us
relu,1,10.08,18.352,9.5,14.063,51.128,190.668
relu,2,9.54,18.708,11.68,15.936,51.674,196.748
relu,4,12.62,19.613,14.18,17.729,53.294,202.022
relu,8,11.86,21.731,10.54,21.031,58.389,209.207
relu,16,11.1,25.199,10.82,28.006,78.145,252.412
relu,32,13.24,32.318,14.28,41.39,98.882,312.672
relu,64,19.92,45.875,20.96,66.642,155.268,423.061
mul,1,9.0,19.378,11.16,15.699,57.703,208.226
mul,2,11.22,19.762,13.36,17.663,57.073,203.338
mul,4,10.46,21.124,15.52,20.174,59.594,207.36
mul,8,13.76,24.217,10.88,24.33,66.751,223.959
mul,16,12.86,30.193,14.1,33.436,93.186,285.204
mul,32,18.52,40.922,20.84,52.158,136.389,369.522
mul,64,27.961,62.617,32.941,88.215,207.025,526.709
add,1,10.04,57.793,13.78,18.944,136.03,462.9
add,2,11.08,58.601,19.26,22.919,139.345,471.404
add,4,10.86,62.929,17.68,26.264,144.892,485.146
add,8,10.42,72.519,14.94,33.378,156.495,528.198
add,16,12.68,89.853,22.54,50.342,176.376,569.455
add,32,20.56,122.557,33.381,83.864,210.826,645.057
add,64,27.541,229.447,54.601,150.813,260.94,778.684
div,1,21.8,52.525,18.64,89.753,N/A,N/A
div,2,27.321,77.735,28.941,164.051,N/A,N/A
div,4,33.041,127.573,50.941,319.831,N/A,N/A
div,8,49.261,215.678,101.062,669.279,N/A,N/A
div,16,75.341,403.688,156.763,1059.065,N/A,N/A
div,32,126.203,1702.948,306.526,2097.675,N/A,N/A
